method,shots,episode_idx,seed,eval_seed,task_id,final_mse,total_info_gain,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse,mse_crlb_ratio,actions,true_theta,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params
symqnet,128,0,777,777,0,0.06933402270078659,6.226140975952148,2.464337630145666,2.3948209709487855,990.4142549429606,7130.031696578953,993.8118403143663,7137.963079265319,,,112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112,1.1110939 0.88281661 1.1000705 1.4635578 0.69616258 0.83704144 1.068475 1.0395921 1.2360485 0.9308188 0.55752689 0.9543761 1.0455071 1.4262131 1.364445 1.0743268 0.78317434 1.0847412 0.61097312 1.4160893 0.56432277 1.1383026 1.422307,777,runs/scaling/n12/symqnet_seed_777/best_agent.pt,92bbda74dbed,heldout_validation_mse,0.07845183089375496,runs/scaling/n12/validation_task_bank.npz,fbc774d287c5,cpu,cpu:x86_64,141621.26075989509,info_gain,,runs/scaling/n12/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}"
symqnet,128,1,777,777,1,0.08370456844568253,5.77227783203125,2.101295491835723,2.3933936608955264,1190.4592771768673,7153.171328420285,1193.078617765827,7156.098721898161,,,112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112,0.66605842 1.2574067 1.1799386 1.201529 0.60526031 0.54641145 1.431906 0.92167938 0.53384548 0.71983069 0.98979658 1.1685443 1.275279 1.2924527 0.84289551 0.74620408 1.0495571 0.91283429 1.0617067 0.81851733 1.3712348 1.0810651 0.70300549,777,runs/scaling/n12/symqnet_seed_777/best_agent.pt,92bbda74dbed,heldout_validation_mse,0.07845183089375496,runs/scaling/n12/validation_task_bank.npz,fbc774d287c5,cpu,cpu:x86_64,141621.26075989509,info_gain,,runs/scaling/n12/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}"
symqnet,128,2,777,777,2,0.09330356866121292,8.98057746887207,2.1189778150680163,2.4091199156828225,795.2927394200944,7137.438019330148,797.9212024430227,7140.056849224493,,,112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112,0.82313424 0.60323358 1.3265618 0.62799102 0.7000187 0.67006999 1.3920144 1.2386929 1.2779019 0.57438517 0.63205171 0.75209415 1.1043887 1.3783271 0.78503132 1.4511695 0.56153733 1.2679998 1.4016755 0.85180449 0.9108212 0.7359215 0.82992244,777,runs/scaling/n12/symqnet_seed_777/best_agent.pt,92bbda74dbed,heldout_validation_mse,0.07845183089375496,runs/scaling/n12/validation_task_bank.npz,fbc774d287c5,cpu,cpu:x86_64,141621.26075989509,info_gain,,runs/scaling/n12/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}"
symqnet,128,3,777,777,3,0.08721038699150085,34.21184158325195,2.1320553173104093,2.4855792871676385,1396.503614067721,7189.423694566358,1399.164885677035,7192.569532082416,,,112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112,0.66426176 0.81101805 0.63377964 0.65775639 0.54327953 0.84943187 0.61126852 0.65504944 1.2594967 0.72816622 0.96273756 1.384878 0.85069042 0.58027136 1.0350686 1.2204939 0.7956661 1.0674371 1.3201362 1.0109261 1.1542318 1.2488678 1.1434819,777,runs/scaling/n12/symqnet_seed_777/best_agent.pt,92bbda74dbed,heldout_validation_mse,0.07845183089375496,runs/scaling/n12/validation_task_bank.npz,fbc774d287c5,cpu,cpu:x86_64,141621.26075989509,info_gain,,runs/scaling/n12/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}"
symqnet,128,4,777,777,4,0.09693024307489395,5.657960891723633,2.1311252106291554,2.522397495340556,802.2776065303738,7135.1424032473005,804.9316917701314,7137.93741853442,,,112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112,1.1913999 1.194694 1.3484299 1.3531257 0.90966696 0.82061386 1.4033148 0.57098156 1.3051636 1.2730229 1.395169 1.4747119 1.4993581 1.413041 1.3295854 1.0783986 0.64983279 1.3087575 1.3692344 1.0246998 1.118353 1.0236269 1.4241014,777,runs/scaling/n12/symqnet_seed_777/best_agent.pt,92bbda74dbed,heldout_validation_mse,0.07845183089375496,runs/scaling/n12/validation_task_bank.npz,fbc774d287c5,cpu,cpu:x86_64,141621.26075989509,info_gain,,runs/scaling/n12/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}"
symqnet,128,5,777,777,5,0.057497765868902206,6.018707275390625,2.128451868581275,2.5187788414768875,990.74932137349,7138.157925277483,993.4028331449049,7141.001025447622,,,112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112,1.2156422 1.2602669 1.3273467 1.2385626 1.1407021 0.94850624 1.306527 0.94805157 0.85179961 0.89749193 1.04687 0.81385577 1.3185496 0.94318616 1.3979883 0.96338618 1.3144757 0.61978817 0.75269181 1.2503054 0.96326959 1.0643708 1.288036,777,runs/scaling/n12/symqnet_seed_777/best_agent.pt,92bbda74dbed,heldout_validation_mse,0.07845183089375496,runs/scaling/n12/validation_task_bank.npz,fbc774d287c5,cpu,cpu:x86_64,141621.26075989509,info_gain,,runs/scaling/n12/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}"
symqnet,128,6,777,777,6,0.0801386833190918,19.931503295898438,2.149622751555095,2.520643873140216,1381.574256048124,7109.968210628722,1384.2583743001644,7112.601036787964,,,112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112,1.4875896 0.55634624 0.54802525 0.56249672 0.71566838 1.0228667 0.72898012 0.72699392 1.3574409 0.78884995 1.2275565 1.0434581 1.2612567 0.71693569 0.8498984 1.4951041 1.4011451 1.2346096 1.2569444 1.2667824 1.0701795 0.72441673 0.9553622,777,runs/scaling/n12/symqnet_seed_777/best_agent.pt,92bbda74dbed,heldout_validation_mse,0.07845183089375496,runs/scaling/n12/validation_task_bank.npz,fbc774d287c5,cpu,cpu:x86_64,141621.26075989509,info_gain,,runs/scaling/n12/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}"
symqnet,128,7,777,777,7,0.08753558993339539,9.533119201660156,2.1542433080159955,2.509706362616271,1184.711222950783,7106.483541545458,1187.3981939020773,7109.165319707245,,,112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112,1.2745924 0.92315024 0.52525806 0.82721144 1.1363438 0.97228891 1.478233 0.78578776 0.61070281 0.59975004 0.97915637 0.84380412 0.97642756 1.3209137 1.2883403 1.1856793 1.086677 0.97567314 1.1202348 0.50393724 0.6953823 1.4633485 1.3483073,777,runs/scaling/n12/symqnet_seed_777/best_agent.pt,92bbda74dbed,heldout_validation_mse,0.07845183089375496,runs/scaling/n12/validation_task_bank.npz,fbc774d287c5,cpu,cpu:x86_64,141621.26075989509,info_gain,,runs/scaling/n12/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}"
symqnet,128,8,777,777,8,0.0661613866686821,18.636754989624023,2.151816261983994,2.519274305086583,1382.4640759072888,7114.962473104242,1385.1531883960383,7118.016070802696,,,112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112,0.80450106 0.52395022 0.93993008 0.76294929 1.2717659 1.2367275 0.58109593 1.0034984 0.98698014 0.87182796 0.99276906 0.81493819 1.2872008 0.67577368 0.9642787 1.1067331 1.0936894 1.4682226 0.99134457 1.1092128 0.61535603 0.86466944 1.2670417,777,runs/scaling/n12/symqnet_seed_777/best_agent.pt,92bbda74dbed,heldout_validation_mse,0.07845183089375496,runs/scaling/n12/validation_task_bank.npz,fbc774d287c5,cpu,cpu:x86_64,141621.26075989509,info_gain,,runs/scaling/n12/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}"
symqnet,128,9,777,777,9,0.09597145020961761,6.07588005065918,2.1057422337536185,2.5043468922376633,790.4512104642992,7112.495553388726,793.0778258661222,7115.131435566582,,,112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112 112,1.1307913 0.86662328 0.6729638 0.59312028 0.52778244 0.53365195 1.0949318 1.4606755 1.3477811 1.362661 0.55574566 1.4140059 0.69138807 1.0187557 1.2610772 0.82953894 0.97888935 1.3291738 0.92498225 0.94340414 0.6090219 0.63192165 1.265272,777,runs/scaling/n12/symqnet_seed_777/best_agent.pt,92bbda74dbed,heldout_validation_mse,0.07845183089375496,runs/scaling/n12/validation_task_bank.npz,fbc774d287c5,cpu,cpu:x86_64,141621.26075989509,info_gain,,runs/scaling/n12/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}"
